abstract,abstract_no,drug,condition
"patients with bilateral vestibular schwannomas associated with neurofibromatosis type 2 (nf2) experience significant morbidity such as complete hearing loss. we have recently shown that treatment with bevacizumab provided tumor stabilization and hearing recovery in a subset of nf2 patients with progressive disease. in the current study, we used two animal models to identify the mechanism of action of antivascular endothelial growth factor (vegf) therapy in schwannomas. the human hei193 and murine nf2/ cell lines were implanted between the pia and arachnoid meninges as well as in the sciatic nerve to mimic central and peripheral schwannomas. mice were treated with bevacizumab (10 mg/kg/wk i.v.) or vandetanib (50 mg/kg/d orally) to block the vegf pathway. using intravital and confocal microscopy, together with wholebody imaging, we measured tumor growth delay, survival rate, as well as blood vessel structure and function at regular intervals. in both models, tumor vessel diameter, length/surface area density, and permeability were significantly reduced after treatment. after 2 weeks of treatment, necrosis in hei193 tumors and apoptosis in nf2/ tumors were significantly increased, and the tumor growth rate decreased by an average of 50%. the survival of mice bearing intracranial schwannomas was extended by at least 50%. this study shows that antivegf therapy normalizes the vasculature of schwannoma xenografts in nude mice and successfully controls the tumor growth, probably by reestablishing a natural balance between vegf and semaphorin 3 signaling. ©2010 aacr.",2886,vandetanib,schwannoma
"inactivating mutations in the neurofibromatosis 2 (nf2) tumor suppressor gene results in the development of schwannomas and meningiomas. using nf2deficient meningioma cells and tumors, together with the normal cellular counterparts that meningiomas derive, arachnoid cells, we identified merlin as a novel negative regulator of mtor complex 1 (mtorc1). we now show that merlin positively regulates the kinase activity of mtorc2, a second functionally distinct mtor complex, and that downstream phosphorylation of mtorc2 substrates, including akt, is reduced upon acute merlin deficiency in cells. in response to general growth factor stimulation, akt signaling is attenuated in merlin rna interferencesuppressed human arachnoid and schwann cells by mechanisms mediated by hyperactive mtorc1 and impaired mtorc2. moreover, akt signaling is impaired differentially in a cell typedependent manner in response to distinct growth factor stimuli. however, contrary to activation of mtorc1, the attenuated mtorc2 signaling profiles exhibited by normal arachnoid and schwann cells in response to acute merlin loss were not consistently reflected in nf2deficient meningiomas and schwannomas, suggesting additional genetic events may have been acquired in tumors after initial merlin loss. this finding contrasts with another benign tumor disorder, tuberous sclerosis complex, which exhibits attenuated mtorc2 signaling profiles in both cells and tumors. finally, we examined rapamycin, as well as the mtor kinase inhibitor, torin1, targeting both mtor complexes to identify the most efficacious class of compounds for blocking mtormediated signaling and proliferation in merlindeficient meningioma cells. these studies may ultimately aid in the development of suitable therapeutics for nf2associated tumors. ©2012 aacr.",1406,torin1,schwannoma
"objectives: vestibular schwannomas are the hallmark of neurofibromatosis type two. they are difficult to treat, due to their bilateral presentation and the quest for hearing preservation. our report describes a new treatment approach in this clinical scenario.case report: we report two cases which confirm that bevacizumab, a monoclonal antibody targeting vascular endothelial growth factor, causes regression of vestibular schwannomas in patients with a previous history of gamma knife radiosurgery or failed treatment with another form of vascular endothelial growth factor targeted therapy.conclusion: in 2009, plotkin et al. reported the volumetric response of vestibular schwannomas to bevacizumab treatment, both in untreated patients and in patients previously treated with erlotinib, an epidermal growth factor receptor inhibitor. the presented cases support the use of bevacizumab to treat vestibular schwannomas. given the extremely slow growth of these tumours, we note the rapidity of volume reduction following bevacizumab therapy. © 2011 jlo (1984) limited.",1333,erlotinib,schwannoma
"neurofibromatosis type 2 ( nf2; mim # 101000) is an autosomal dominant disorder characterized by the development of vestibular schwannomas (vss); schwannomas of other cranial, spinal, and cutaneous nerves; cranial and spinal meningiomas or other central nervous system tumors (eg, ependymomas and astrocytomas) or both. additional features include eye (eg, early onset cataracts, optic nerve sheath meningiomas, retinal or pigment epithelial hamartomas or both, and epithelial retinal membranes) and skin abnormalities (eg, flat dermal [nf2 plaques] or spherical subcutaneous nodular schwannomas or both, and few, atypical caféaulait spots). clinically, children with nf2 fall into 2 main groups: (1) congenital nf2 with bilateral vss detected as early as the first days to months of life, which can be stable or asymptomatic for 12 decades and suddenly progress; and (2) severe prepubertal (wishart type) nf2 with multiple (and rapidly progressive) central nervous system tumors otherthanvs, which usually presents first, years before vss, both associated with more marked skin and eye involvement (vs the classical mild adult [gardner type] nf2, with bilateral vss presenting in young adulthood, sometimes as the only disease feature). individuals manifesting unilateral vs associated with ipsilateral meningiomas or multiple schwannomas localized to a part of the peripheral nervous system have mosaic or segmental nf2; individuals developing multiple nonvs, nonintradermal cranial, spinal, and peripheral schwannomas (histologically proven) have schwannomatosis ( swnts). nf2 is caused by mutations in the nf2 gene at chromosome 22q12.1, which encodes for a protein called merlin or schwannomin, most similar to the exrinreadixinmoesin proteins; mosaic or segmental nf2 is because of mosaic phenomena for the nf2 gene, whereas swnts is caused by germline and possibly mosaic mutations either in the smarcb1 gene (. swnts1; mim # 162091) or the lztr1 gene (swnts2; mim # 615670), both falling within the 22q region. data driven from in vitro and animal studies on the merlin pathway allowed biologically targeted treatment strategies (employing lapatinib, erlotinib, everolimus, picropodophyllin, osu.03012, imatinib, sorafenib, and bevacizumab) aimed at multiple tumor shrinkage or regression or both and tumor arrest of progression with functional improvement.",1549,erlotinib,schwannoma
"the understanding of the molecular pathways underlying tumor development in neurofibromatosis type 2 (nf2) is increasing. thus, repositioning drugs, drug therapies that are already clinically available for various cancers, appear potentially promising for nf2 patients. based on preclinical data from in vitro or animal models, five different treatments have been proposed for selected nf2 cases. evaluation of bevacizumab, a monoclonal antibody against vegf has mainly been reported in retrospective studies; it has been reported to induce hearing improvement and tumor shrinkage in more than 50% of progressive vestibular schwannomas (vs). in our experience with 16 patients, bevacizumab is associated with an increase of median time to tumor progression of vs from 5.6 months before bevacizumab onset, to more than 29.3 months. the need for intravenous injections and long term adverse events (hypertension, proteinuria, hemorrhage) are the main drawbacks. lapatinib seemed promising in a single phase ii trial with a volumetric response observed in 4/17 patients and a hearing response in 4/13, but is not currently used in clinical practice. erlotinib has not been associated with radiographic or hearing responses in a phase ii trial. everolimus has been evaluated in 3 phase ii trials. everolimus did not induced tumor shrinkage, but seems to be able to increase time to tumor progression in selected cases. currently, bevacizumab is the only drug proposed to selected nf2 patients.",2421,erlotinib,schwannoma
"objective: in vitro treatment of nf2deficient cells with epidermal growth factor receptor (egfr) inhibitors can reduce cellular proliferation. we sought to determine the activity of erlotinib for progressive vestibular schwannoma (vs) associated with neurofibromatosis 2 (nf2). study design: retrospective case review. setting: tertiary referral center. patients: eleven nf2 patients with progressive vs who were poor candidates for standard therapy. intervention: erlotinib 150 mg daily. main outcome measures: a radiographic response was defined as 20% decrease in tumor volume compared with baseline. a hearing response was defined as a statistically significant increase in word recognition score (wrs) compared with baseline; a minor hearing response was defined as a 10 db improvement in puretone average with stable wrs. results: before treatment, the median and mean annual volumetric growth rate for 11 index vs were 26% and 46%, respectively. among 10 evaluable patients, the median timetotumor progression was 9.2 months. three patients with stable disease experienced maximum tumor shrinkage of 4%, 13%, and 14%. nine patients underwent audiologic evaluations. one experienced a transient hearing response, 2 experienced minor hearing responses, 3 remained stable, and 2 developed progressive hearing loss. the median timetoprogressive hearing loss was 9.2 months and to either tumor growth or progressive hearing loss was 7.1 months. adverse treatment effects included mildtomoderate rash, diarrhea, and hair thinning, with 2 episodes of grade 3 toxicity. conclusion: erlotinib treatment was not associated with radiographic or hearing responses in nf2 patients with progressive vs. because a subset of patients experienced prolonged stable disease, timetoprogression may be more appropriate than radiographic or hearing response for antiegfr agents in nf2associated vs. © 2010, otology & neurotology, inc.",3699,erlotinib,schwannoma
"medical therapy target population adults with histologically proven or suspected vestibular schwannomas with neurofibromatosis type 2 (nf2). question what is the role of bevacizumab in the treatment of patients with vestibular schwannomas? recommendations level 3: it is recommended that bevacizumab be administered in order to radiographically reduce the size or prolong tumor stability in patients with nf2 without surgical options. level 3: it is recommended that bevacizumab be administered to improve hearing or prolong time to hearing loss in patients with nf2 without surgical options. question is there a role for lapatinib, erlotinib, or everolimus in the treatment of patients with vestibular schwannomas? recommendations level 3: lapatinib may be considered for use in reducing vestibular schwannoma size and improvement in hearing in nf2. level 3: erlotinib is not recommended for use in reducing vestibular schwannoma size or improvement in hearing in patients with nf2. level 3: everolimus is not recommended for use in reducing vestibular schwannoma size or improvement in hearing in nf2. question what is the role of aspirin, to augment inflammatory response, in the treatment of patients with vestibular schwannomas? target population any patient with a vestibular schwannoma undergoing observation. recommendation level 3: it is recommended that aspirin administration may be considered for use in patients undergoing observation of their vestibular schwannomas. question is there a role for treatment of vasospasm, ie, nimodipine or hydroxyethyl starch, perioperatively to improve facial nerve outcomes in patients with vestibular schwannomas? target population adults with histologically proven or suspected vestibular schwannomas. recommendation level 3: perioperative treatment with nimodipine (or with the addition of hydroxyethyl starch) should be considered to improve postoperative facial nerve outcomes and may improve hearing outcomes. prehabilitation question is there a role for preoperative vestibular rehab or vestibular ablation with gentamicin for patients surgically treated for vestibular schwannomas? target population adults with histologically proven or suspected vestibular schwannomas. recommendations level 3: preoperative vestibular rehabilitation is recommended to aid in postoperative mobility after vestibular schwannoma surgery. level 3: preoperative gentamicin ablation of the vestibular apparatus should be considered to improve postoperative mobility after vestibular schwannoma surgery. surgical therapy question does endoscopic assistance make a difference in resection or outcomes in patients with vestibular schwannomas? target population vestibular schwannoma patients, who are surgical candidates. inclusion in this analysis required resection utilizing the endoscope, either as the primary operative visualization or microscopic assistance with more than 20 patients treated. recommendation level 3: endoscopic assistance is a surgical technique that the surgeon may choose to use in order to aid in visualization. the full guideline can be found at: https://www.cns.org/guidelines/guidelinesmanagementpatientsvestibularschwannoma/chapter9.",3792,erlotinib,schwannoma
"bilateral internal auditory canal (iac) tumours are almost exclusively associated with bilateral vestibular schwannomas, and there is very little, if anything, that can mimic this appearance. we present a very rare case of a 75yearold gentleman who initially presented with bilateral iac tumours and later diagnosed as an isolated primary cns myeloma without systemic involvement. this is a very rare presentation and has important diagnostic and therapeutic implications. he was treated with a combination of lenalidomide and dexamethasone. the treatment was well tolerated but with limited response. although rare, metastasis should be considered as a differential diagnosis of iac lesions. © 2012 the neurosurgical foundation.",398,lenalidomide,schwannoma
"neurofibromatosis type 2 (nf2) is a nervous system tumor disorder caused by inactivation of the merlin tumor suppressor encoded by the nf2 gene. bilateral vestibular schwannomas are a diagnostic hallmark of nf2. mainstream treatment options for nf2associated tumors have been limited to surgery and radiotherapy; however, offlabel uses of targeted molecular therapies are becoming increasingly common. here, we investigated drugs targeting two kinases activated in nf2associated schwannomas, cmet and src. we demonstrated that merlindeficient mouse schwann cells (mdmsc) treated with the cmet inhibitor, cabozantinib, or the src kinase inhibitors, dasatinib and saracatinib, underwent a g1 cellcycle arrest. however, when mdmscs were treated with a combination of cabozantinib and saracatinib, they exhibited caspasedependent apoptosis. the combination therapy also significantly reduced growth of mdmscs in an orthotopic allograft mouse model by greater than 80% of vehicle. moreover, human vestibular schwannoma cells with nf2 mutations had a 40% decrease in cell viability when treated with cabozantinib and saracatinib together compared with the vehicle control. this study demonstrates that simultaneous inhibition of cmet and src signaling in mdmscs triggers apoptosis and reveals vulnerable pathways that could be exploited to develop nf2 therapies.",1370,saracatinib,schwannoma
"neurofibromatosis 2 (nf2) is a rare tumor suppressor syndrome that manifests with multiple schwannomas and meningiomas. there are no effective drug therapies for these benign tumors and conventional therapies have limited efficacy. various model systems have been created and several drug targets have been implicated in nf2driven tumorigenesis based on known effects of the absence of merlin, the product of the nf2 gene. we tested priority compounds based on known biology with traditional doseconcentration studies in meningioma and schwann cell systems. concurrently, we studied functional kinome and gene expression in these cells pre and posttreatment to determine merlin deficient molecular phenotypes. cell viability results showed that three agents (gsk2126458, panobinostat, cudc907) had the greatest activity across schwannoma and meningioma cell systems, but merlin status did not significantly influence response. in vivo, drug effect was tumor specific with meningioma, but not schwannoma, showing response to gsk2126458 and panobinostat. in culture, changes in both the transcriptome and kinome in response to treatment clustered predominantly based on tumor type. however, there were differences in both gene expression and functional kinome at baseline between meningioma and schwannoma cell systems that may form the basis for future selective therapies. this work has created an openly accessible resource (www.synapse.org/synodosnf2) of fully characterized isogenic schwannoma and meningioma cell systems as well as a rich data source of kinome and transcriptome data from these assay systems before and after treatment that enables single and combination drug discovery based on molecular phenotype.",355,panobinostat,schwannoma
"loss of the tumor suppressor merlin is a cause of frequent tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas, which occur spontaneously or as part of neurofibromatosis type 2 (nf2). because there is medical need for drug therapies for these tumors, our aim is to find therapeutic targets. we have studied the pathobiology of schwannomas, because they are the most common merlindeficient tumors and are a model for all merlindeficient tumors. with use of a human schwannoma in vitro model, we previously described strong overexpression/activation of plateletderived growth factor receptorß (pdgfrb) leading to strong, longlasting activation of extracellularsignal regulated kinase (erk1/2) and akt and increased schwannoma growth, which we successfully inhibited using the pdgfr/raf inhibitor sorafenib. however, the benign character of schwannomas may require longterm treatment; thus, drug tolerability is an issue. with the use of western blotting, proliferation assays, viability assays, and a primary human schwannoma cell in vitro model, we tested the pdgfr/ckit inhibitors imatinib (glivec; novartis) and nilotinib (tasigna; novartis). imatinib and nilotinib inhibited pdgfddmediated erk1/2 activation, basal and pdgfddmediated activation of pdgfrß and akt, and schwannoma proliferation. nilotinib is more potent than imatinib, exerting its maximal inhibitory effect at concentrations lower than steadystate trough plasma levels. in addition, nilotinib combined with the mek1/2 inhibitor selumetinib (azd6244) at low concentrations displayed stronger efficiency toward tumor growth inhibition, compared with nilotinib alone. we suggest that therapy with nilotinib or combinational therapy that simultaneously inhibits pdgfr and the downstream raf/mek1/2/erk1/2 pathway could represent an effective treatment for schwannomas and other merlindeficient tumors. © the author(s) 2011.",870,nilotinib,schwannoma
"neurofibromatosis type 2 (nf2), a neurogenetic condition manifest by peripheral nerve sheath tumors (pnst) throughout the neuroaxis for which there are no approved therapies. in vitro and in vivo studies presented here examine agents targeting signaling pathways, angiogenesis, and dna repair mechanisms. in vitro dose response assays demonstrated potent activity of lapatinib and nilotinib against the mouse schwannoma sc4 (nf2−/−) cell line. we then examined the efficacy of everolimus, nilotinib, lapatinib, bevacizumab and radiation (rt) as mono and combination therapies in flank and sciatic nerve in vivo nf2pnst models. data were analyzed using generalized linear models, two sample ttests and paired ttests, and linear regression models. sc4(nf2−/−) cells implanted in the flank or sciatic nerve showed similar rates of growth (p = 0.9748). lapatinib, nilotinib and rt significantly reduced tumor growth rate versus controls in the in vivo flank model (p = 0.0025, 0.0062, and 0.009, respectively) whereas bevacizumab and everolimus did not. the best performers were tested in the in vivo sciatic nerve model of nf2 associated pnst, where chemoradiation outperformed nilotinib or lapatinib as single agents (nilotinib vs. nilotinib + rt, p = 0.0001; lapatinib versus lapatinib + rt, p < 0.0001) with no observed toxicity. there was no regrowth of tumors even 14 days after treatment was stopped. the combination of either lapatinib or nilotinib with rt resulted in greater delays in tumor growth rate than any modality alone. this data suggest that concurrent low dose rt and targeted therapy may have a role in addressing progressive pnst in patients with nf2.",3318,nilotinib,schwannoma
"loss of the tumor suppressor merlin is a cause of frequent tumors of the nervous system, such as schwannomas, meningiomas, and ependymomas, which occur spontaneously or as part of neurofibromatosis type 2 (nf2). because there is medical need for drug therapies for these tumors, our aim is to find therapeutic targets. we have studied the pathobiology of schwannomas, because they are the most common merlindeficient tumors and are a model for all merlindeficient tumors. with use of a human schwannoma in vitro model, we previously described strong overexpression/activation of plateletderived growth factor receptorß (pdgfrb) leading to strong, longlasting activation of extracellularsignal regulated kinase (erk1/2) and akt and increased schwannoma growth, which we successfully inhibited using the pdgfr/raf inhibitor sorafenib. however, the benign character of schwannomas may require longterm treatment; thus, drug tolerability is an issue. with the use of western blotting, proliferation assays, viability assays, and a primary human schwannoma cell in vitro model, we tested the pdgfr/ckit inhibitors imatinib (glivec; novartis) and nilotinib (tasigna; novartis). imatinib and nilotinib inhibited pdgfddmediated erk1/2 activation, basal and pdgfddmediated activation of pdgfrß and akt, and schwannoma proliferation. nilotinib is more potent than imatinib, exerting its maximal inhibitory effect at concentrations lower than steadystate trough plasma levels. in addition, nilotinib combined with the mek1/2 inhibitor selumetinib (azd6244) at low concentrations displayed stronger efficiency toward tumor growth inhibition, compared with nilotinib alone. we suggest that therapy with nilotinib or combinational therapy that simultaneously inhibits pdgfr and the downstream raf/mek1/2/erk1/2 pathway could represent an effective treatment for schwannomas and other merlindeficient tumors. © the author(s) 2011.",870,selumetinib,schwannoma
"neurofibromatosis type 2 (nf2) is a genetic condition characterized by inactivation of the nf2 tumor suppressor gene and the development of schwannomas. the nf2 gene product, merlin, is activated (dephosphorylated) by contact inhibition and promotes growth suppression. we investigated the effect of curcumin (diferuloylmethane), a molecule with antiinflammatory and antitumorigenic properties, on human schwannoma cell growth and the regulation of merlin by curcumin in both nf2 cells and neuroblastoma (nonnf2) cells. curcumin inhibited the growth of hei193 schwannoma cells in vitro and downregulated the phosphorylation of akt and extracellular signalregulated kinase 1/2. curcumin also activated mypt1pp1δ (a merlin phosphatase), which was associated with dephosphorylation of merlin on serine 518, an event that results in the folding of merlin to its active conformation. in addition, curcumin induced apoptosis and generated reactive oxygen species in hei193 cells. consequently, hsp70 was upregulated at the mrna and protein levels, possibly serving as a mechanism of escape from curcumininduced apoptosis and growth inhibition. endogenous merlin and hsp70 proteins interacted in hei193 schwannoma and sknas neuroblastoma cells. the combination of curcumin and an hsp inhibitor synergistically suppressed schwannoma cell growth. our results provide a rationale for combining curcumin and knk437 in the treatment of nf2. © 2011 aacr.",3899,curcumin,schwannoma
"background. neurofibromatosis type 2 (nf2) is a genetic tumorpredisposition disorder caused by nf2/merlin tumor suppressor gene inactivation. the hallmark of nf2 is formation of bilateral vestibular schwannomas (vs). because merlin modulates activity of the ras/raf/mitogenactivated protein kinase kinase (mek)/extracellular signal regulated kinase (erk) pathway, we investigated repurposing drugs targeting mek1 and/or mek2 as a treatment for nf2associated schwannomas. methods. mouse and human merlindeficient schwann cell lines (mdmsc/hsc) were screened against 6 mek1/2 inhibitors. efficacious drugs were tested in orthotopic allograft and nf2 transgenic mouse models. pathway and proteome analyses were conducted. drug efficacy was examined in primary human vs cells with nf2 mutations and correlated with dna methylation patterns. results. trametinib, pd0325901, and cobimetinib were most effective in reducing mdmsc/hsc viability. each decreased phosphorylated perk1/2 and cyclin d1, increased p27, and induced caspase3 cleavage in mdmscs. proteomic analysis confirmed cell cycle arrest and activation of proapoptotic pathways in trametinibtreated mdmscs. the 3 inhibitors slowed allograft growth; however, decreased perk1/2, cyclin d1, and ki67 levels were observed only in pd0325901 and cobimetinibtreated grafts. tumor burden and average tumor size were reduced in trametinibtreated nf2 transgenic mice; however, tumors did not exhibit reduced perk1/2 levels. trametinib and pd0325901 modestly reduced viability of several primary human vs cell cultures with nf2 mutations. dna methylation analysis of pd0325901resistant versus susceptible vs identified genes that could contribute to drug resistance. conclusion. mek inhibitors exhibited differences in antitumor efficacy resistance in schwannoma models with possible emergence of trametinib resistance. the results support further investigation of mek inhibitors in combination with other targeted drugs for nf2 schwannomas.",1728,cobimetinib,schwannoma
"patients with neurofibromatosis type 1 (nf1) and neurofibromatosis type 2 (nf2) are predisposed to tumors of the nervous system. nf1 patients predominantly develop neurofibromas, and malignant peripheral nerve sheath tumors (mpnst) while nf2 patients develop schwannomas and meningiomas. here we quantified the drug sensitivities of nf1 and nf2 tumor cell lines in a high throughput platform. the platform contained a comprehensive collection of inhibitors of mek, raf, ras, farnesyl transferase, pak and erk, representative drugs against many other cancer pathways including wnt, hedgehog, p53, egf, hdac, as well as classical cytotoxic agents recommended for treating mpnst, such as doxorubicin and etoposide. we profiled seven nf1associated mpnst cell lines (st8814, st883, 908, snf02.2, t265, s462ty, snf96.2), one sporadic mpnst cell line (sts26), one schwannoma from a nf2 patient (hei193), one nf2deficient malignant meningioma (kt21mgluc5d), one mouse nf2 schwannoma (sc4) and one sporadic rat schwannoma (rt467 or rt4). nf1 cells were primarily distinguished from nf2 cells and the sporadic mpnst cell line by their sensitivity to mek and erk inhibitors, and to a smaller extent their sensitivity to bh3 mimetics and farnesyl transferase inhibitors. the platform was highly successful in predicting the effects of clinical trials for neurofibromas.",595,doxorubicin,schwannoma
"a 72yearold caucasian man incurring a prostate hypertrophy presented with a right forearm nodule, the growth of which appeared to parallel the rise in his blood prostatespecific antigen (psa) level. echographic examination was consistent with a mediannerve schwannoma, and was confirmed upon magnetic resonance imaging (mri). excision of the nodule was readily performed without significant neural damage, and its schwannoma nature was confirmed upon immunohistochemistry analysis. importantly, blood psa dropped abruptly from ≈13 to ≈5 ng/ml within 2 months postschwannoma resection, a swift drastic reduction unachievable with oral dutasteride alone. however, 6 weeks later, a new nodule became apparent on the back of the left knee and was identified as a second schwannoma, thereby suggesting that its growth could have been stimulated by the resection of the first schwannoma, as previously described for vestibular schwannomas. the second schwannoma was in fact two: the bigger one was in the common fibular nerve and the smaller one in the tibial nerve. both echography and mri results were confirmed upon surgical resection of the bigger knee schwannoma. although the third schwannoma has not yet been resected and formally characterized, we face a schwannomatosis case with an unexpected potential exosomemediated stimulating effect on psa secretion (psa immunohistochemistry was negative on both schwannomas). on the other hand, preliminary genomic analysis showed a deficient balance for chromosome 22, the very chromosome carrying the three main genes involved in schwannomatosis. this agerelated schwannomatosis case is thus discussed in light of the following: agerelated dna repair deficiency culminating in loss of chromosome/heterozygosity; cpg methylation/demethylationbased epigenetic aging; agerelated functional decline of the immune system responsible for inefficient elimination of abnormal cells and subsequent tumorigenic cell turnover; exosomemediated pathologic intercellular communications; and prostateinvading brain neural progenitors as pathologic peripheral nervous system (pns) cells.",4338,dutasteride,schwannoma
"opinion statement: neurofibromatosis type 1 (nf1) and type 2 (nf2) are genetically and medically distinct neurocutaneous disorders that are both associated with tumors affecting the central and peripheral nervous systems. nf1 has a frequency of 1 in 3,000, compared with 1 in 30,000 for nf2. careful surveillance is important for both conditions, to allow early identification and treatment of complications. the most common and important problems in nf1 are cognitive impairment, optic pathway gliomas, plexiform neurofibromas, and orthopaedic issues. early intervention and tailored educational programs are indicated for learning difficulties. attention deficit hyperactivity disorder may be amenable to treatment with stimulant medication. a clinical trial is under way to evaluate lovastatin in the treatment of cognitive problems in children with nf1. chemotherapy with vincristine and carboplatin is the current standard of care for symptomatic optic pathway gliomas, but new agents with improved efficacy are needed. plexiform neurofibromas may be treated with surgery, but often recur. to date, no medical therapy has proven effective in limiting plexiform neurofibroma growth, but several candidate medications are under consideration in clinical trials. malignant peripheral nerve sheath tumors may arise in preexisting plexiform neurofibromas, so changes in tumor growth or an increase in pain or focal neurologic deficit should prompt further investigation and early treatment with wide surgical resection, with or without adjuvant chemotherapy or radiotherapy. specialist surgical intervention may be needed for scoliosis and tibial pseudoarthrosis. in nf2, surgical treatment remains a cornerstone of management for symptomatic progressive vestibular schwannomas, meningiomas, and spinal tumors. vascular endothelial growth factor inhibitors show promise for the treatment of vestibular schwannomas, with the aim of delaying surgery, and other targeted molecular therapies are becoming available as investigational options. hearing aids and brainstem and cochlear implants have a role in optimizing functional hearing in some patients. specialist ophthalmology input should be arranged to monitor for ophthalmologic complications. a coordinated effort is needed to enroll nf1 and nf2 patients in international multicenter clinical trials of promising new pharmacologic agents. genetic testing is useful for prenatal diagnosis and may be important in understanding individual responses to novel medical therapies in the future. effective transition to adult services is important, considering the likelihood of further complications in the adult years. © 2011 springer science+business media, llc.",4591,lovastatin,schwannoma
"background. neurofibromatosis type 2 (nf2) is a genetic tumorpredisposition disorder caused by nf2/merlin tumor suppressor gene inactivation. the hallmark of nf2 is formation of bilateral vestibular schwannomas (vs). because merlin modulates activity of the ras/raf/mitogenactivated protein kinase kinase (mek)/extracellular signal regulated kinase (erk) pathway, we investigated repurposing drugs targeting mek1 and/or mek2 as a treatment for nf2associated schwannomas. methods. mouse and human merlindeficient schwann cell lines (mdmsc/hsc) were screened against 6 mek1/2 inhibitors. efficacious drugs were tested in orthotopic allograft and nf2 transgenic mouse models. pathway and proteome analyses were conducted. drug efficacy was examined in primary human vs cells with nf2 mutations and correlated with dna methylation patterns. results. trametinib, pd0325901, and cobimetinib were most effective in reducing mdmsc/hsc viability. each decreased phosphorylated perk1/2 and cyclin d1, increased p27, and induced caspase3 cleavage in mdmscs. proteomic analysis confirmed cell cycle arrest and activation of proapoptotic pathways in trametinibtreated mdmscs. the 3 inhibitors slowed allograft growth; however, decreased perk1/2, cyclin d1, and ki67 levels were observed only in pd0325901 and cobimetinibtreated grafts. tumor burden and average tumor size were reduced in trametinibtreated nf2 transgenic mice; however, tumors did not exhibit reduced perk1/2 levels. trametinib and pd0325901 modestly reduced viability of several primary human vs cell cultures with nf2 mutations. dna methylation analysis of pd0325901resistant versus susceptible vs identified genes that could contribute to drug resistance. conclusion. mek inhibitors exhibited differences in antitumor efficacy resistance in schwannoma models with possible emergence of trametinib resistance. the results support further investigation of mek inhibitors in combination with other targeted drugs for nf2 schwannomas.",1728,trametinib,schwannoma
"background. neurofibromatosis type 2 (nf2) is a genetic tumorpredisposition disorder caused by nf2/merlin tumor suppressor gene inactivation. the hallmark of nf2 is formation of bilateral vestibular schwannomas (vs). because merlin modulates activity of the ras/raf/mitogenactivated protein kinase kinase (mek)/extracellular signal regulated kinase (erk) pathway, we investigated repurposing drugs targeting mek1 and/or mek2 as a treatment for nf2associated schwannomas. methods. mouse and human merlindeficient schwann cell lines (mdmsc/hsc) were screened against 6 mek1/2 inhibitors. efficacious drugs were tested in orthotopic allograft and nf2 transgenic mouse models. pathway and proteome analyses were conducted. drug efficacy was examined in primary human vs cells with nf2 mutations and correlated with dna methylation patterns. results. trametinib, pd0325901, and cobimetinib were most effective in reducing mdmsc/hsc viability. each decreased phosphorylated perk1/2 and cyclin d1, increased p27, and induced caspase3 cleavage in mdmscs. proteomic analysis confirmed cell cycle arrest and activation of proapoptotic pathways in trametinibtreated mdmscs. the 3 inhibitors slowed allograft growth; however, decreased perk1/2, cyclin d1, and ki67 levels were observed only in pd0325901 and cobimetinibtreated grafts. tumor burden and average tumor size were reduced in trametinibtreated nf2 transgenic mice; however, tumors did not exhibit reduced perk1/2 levels. trametinib and pd0325901 modestly reduced viability of several primary human vs cell cultures with nf2 mutations. dna methylation analysis of pd0325901resistant versus susceptible vs identified genes that could contribute to drug resistance. conclusion. mek inhibitors exhibited differences in antitumor efficacy resistance in schwannoma models with possible emergence of trametinib resistance. the results support further investigation of mek inhibitors in combination with other targeted drugs for nf2 schwannomas.",1728,pd0325901,schwannoma
"neurofibromatosis type 2 (nf2) is an autosomaldominant disease that results in the formation of bilateral vestibular schwannomas (vss) and multiple meningiomas. treatment options for nf2associated tumors are limited, and to date, no medical therapies are fda approved. the ideal chemotherapeutic agent would inhibit both vs and meningiomas simultaneously. the objectives of this study are (1) to test the efficacy of ar42, a novel histone deacetylase inhibitor, to inhibit vs and meningioma growth and (2) to investigate this drug's mechanisms of action. primary cultures of human vs and meningioma cells were established. nf2deficient mouse schwannoma and benign human meningioma benmen1 cells were also cultured. cells were treated with ar42, and the drug's effects on proliferation and the cell cycle were analyzed using a methanethiosulfonate assay and flow cytometry, respectively. human phosphokinase arrays and western blots were used to evaluate the effects of ar42 on intracellular signaling. the in vivo efficacy of ar42 was investigated using schwannoma xenografts. tumor volumes were quantified using highfield, volumetric mri, and molecular target analysis was performed using immunohistochemistry. ar42 inhibited the growth of primary human vs and nf2deficient mouse schwannoma cells with a half maximal inhibitory concentration (ic50) of 500 nm and 250350 nm, respectively. ar42 also inhibited primary meningioma cells and the benign meningioma cell line, benmen1, with ic50 values of 1.5 mm and 1.0 mm, respectively. ar42 treatment induced cellcycle arrest at g2 and apoptosis in both vs and meningioma cells. also, ar42 exposure decreased phosphorylated akt in schwannoma and meningioma cells. in vivo treatment with ar42 inhibited the growth of schwannoma xenografts, induced apoptosis, and decreased akt activation. the potent growth inhibitory activity of ar42 in schwannoma and meningioma cells suggests that ar42 should be further evaluated as a potential treatment for nf2associated tumors. © 2011 the author(s).",930,ar42,schwannoma
